Region,States,Max.Demand Met during the day(MW),Shortage during maximum Demand(MW),Energy Met (MU),date
NER,Mizoram,77,1.0,1.2,2015-01-01
WR,DD,214,0.0,4.8,2015-01-01
WR,Goa,383,0.0,7.3,2015-01-01
WR,Maharashtra,14837,57.0,315.0,2015-01-01
WR,MP,5740,0.0,109.8,2015-01-01
WR,Gujarat,11383,0.0,246.4,2015-01-01
WR,Chhattisgarh,3052,18.0,64.6,2015-01-01
WR,DNH,581,0.0,14.0,2015-01-01
NR,Chandigarh,224,0.0,3.8,2015-01-01
NR,HP,1367,0.0,25.1,2015-01-01
NR,Uttarakhand,1768,0.0,33.9,2015-01-01
NR,UP,9998,3645.0,244.0,2015-01-01
NR,Delhi,4009,0.0,67.6,2015-01-01
NR,Rajasthan,9810,0.0,204.9,2015-01-01
NR,Haryana,6025,0.0,116.8,2015-01-01
NR,J&K,1959,346.0,37.3,2015-01-01
NR,Punjab,5045,0.0,93.3,2015-01-01
WR,Essar steel,258,0.0,5.4,2015-01-01
SR,Andhra Pradesh,5963,0.0,131.5,2015-01-01
NER,Meghalaya,311,1.0,5.1,2015-01-01
NER,Manipur,136,2.0,2.6,2015-01-01
NER,Assam,1210,37.0,21.8,2015-01-01
NER,Arunachal Pradesh,103,2.0,1.8,2015-01-01
ER,Sikkim,89,0.0,1.8,2015-01-01
ER,West Bengal,5888,0.0,101.0,2015-01-01
ER,Odisha,3011,0.0,65.6,2015-01-01
ER,Jharkhand,1012,119.0,22.0,2015-01-01
ER,DVC,2243,0.0,51.8,2015-01-01
ER,Bihar,2679,0.0,52.2,2015-01-01
SR,Pondy,278,0.0,5.4,2015-01-01
SR,Tamil Nadu,10621,891.0,235.5,2015-01-01
SR,Kerala,3288,125.0,60.9,2015-01-01
SR,Karnataka,7914,300.0,166.1,2015-01-01
SR,Telangana,6173,300.0,136.9,2015-01-01
NER,Nagaland,116,3.0,2.4,2015-01-01
NER,Tripura,208,2.0,2.7,2015-01-01
NER,Tripura,205,1.0,3.1,2016-01-01
NER,Manipur,134,1.0,2.3,2016-01-01
WR,Maharashtra,18950,0.0,381.7,2016-01-01
WR,MP,9907,0.0,214.3,2016-01-01
WR,Gujarat,12228,0.0,261.4,2016-01-01
WR,Chhattisgarh,2992,0.0,69.2,2016-01-01
NR,Chandigarh,188,0.0,3.1,2016-01-01
NR,J&K,2242,560.0,46.7,2016-01-01
WR,Goa,377,0.0,7.6,2016-01-01
NR,HP,1250,5.0,22.3,2016-01-01
NR,UP,13251,0.0,282.3,2016-01-01
NR,Delhi,3482,0.0,56.3,2016-01-01
NR,Rajasthan,9206,0.0,199.7,2016-01-01
NR,Haryana,5763,0.0,105.4,2016-01-01
NR,Punjab,4900,0.0,91.1,2016-01-01
NER,Nagaland,112,6.0,1.9,2016-01-01
NR,Uttarakhand,1684,0.0,29.7,2016-01-01
NER,Meghalaya,253,0.0,4.5,2016-01-01
WR,DD,237,0.0,5.0,2016-01-01
WR,Essar steel,578,0.0,11.9,2016-01-01
NER,Assam,1340,10.0,20.5,2016-01-01
NER,Arunachal Pradesh,94,1.0,2.0,2016-01-01
ER,Sikkim,84,0.0,1.4,2016-01-01
ER,West Bengal,5826,0.0,95.0,2016-01-01
ER,Odisha,3913,0.0,75.0,2016-01-01
ER,Jharkhand,1110,0.0,23.0,2016-01-01
WR,DNH,653,0.0,14.2,2016-01-01
ER,DVC,2439,0.0,56.1,2016-01-01
SR,Pondy,259,0.0,6.0,2016-01-01
SR,Tamil Nadu,12352,0.0,257.1,2016-01-01
SR,Kerala,3010,0.0,56.2,2016-01-01
SR,Karnataka,9011,0.0,183.0,2016-01-01
SR,Telangana,7591,0.0,144.3,2016-01-01
SR,Andhra Pradesh,6700,0.0,141.8,2016-01-01
ER,Bihar,3611,250.0,62.7,2016-01-01
NER,Mizoram,82,1.0,1.3,2016-01-01
NER,Tripura,209,1.0,3.5,2016-01-01
