linkUrl,customEvent:DATAGOV_dataset_organization,customEvent:DATAGOV_dataset_publisher,fileExtension,fileName,pageLocation,pageTitle,eventCount
https://data.chhs.ca.gov/dataset/5a281abf-1730-43b0-b17b-ac6a35db5760/resource/724c6fd8-a645-4e52-b6,State of California,ca-gov,csv,adult-depression-lghc-indicator-24.csv,https://catalog.data.gov/dataset/adult-depression-lghc-indicator-627e3,Adult Depression (LGHC Indicator) - Catalog,935
https://data.chhs.ca.gov/dataset/bb703230-1f5f-44b5-8a90-55e45e08c452/resource/4a8dde27-c4e1-4ca3-86,State of California,ca-gov,csv,sugar-sweetened-beverage-consumption-in-california-residents-20122013.csv,https://catalog.data.gov/dataset/sugar-sweetened-beverage-consumption-in-california-residents-69c65,Sugar-Sweetened Beverage Consumption in California Residents - Catalog,435
https://data.chhs.ca.gov/dataset/596b5eed-31de-4fd8-a645-249f3f9b19c4/resource/57da6c9a-41a7-44b0-ab,State of California,ca-gov,csv,cscpopendata.csv,https://catalog.data.gov/dataset/chemicals-in-cosmetics-2a971,Chemicals in Cosmetics - Catalog,396
https://data.chhs.ca.gov/dataset/03e61434-7db8-4a53-a3e2-1d4d36d6848d/resource/75019f89-b349-4d5e-82,State of California,ca-gov,csv,odp_idb_2001_2022_ddg_compliant.csv,https://catalog.data.gov/dataset/infectious-diseases-by-disease-county-year-and-sex-6e856,"Infectious Diseases by Disease, County, Year, and Sex - Catalog",286
https://data.chhs.ca.gov/dataset/99bc1fea-c55c-4377-bad8-f00832fd195d/resource/bc09f211-200c-4c4c-aa,State of California,ca-gov,xlsx,hci_crime_752_pl_co_re_ca_2000-2013_21oct15-ada.xlsx,https://catalog.data.gov/dataset/violent-crime-rate-9a68e,Violent Crime Rate - Catalog,267
https://data.chhs.ca.gov/dataset/5a281abf-1730-43b0-b17b-ac6a35db5760/resource/724c6fd8-a645-4e52-b6,State of California,ca-gov,csv,adult-depression-lghc-indicator-24.csv,https://catalog.data.gov/dataset/adult-depression-lghc-indicator-627e3/resource/907ca678-6428-4dca-9022-ec4dee9f8e37,Adult Depression (LGHC Indicator) - Adult Depression (LGHC Indicator 24) - Catalog,229
https://data.ca.gov/dataset/e7624fce-c058-4fa1-a29f-2594d8f8f160/resource/b027a5ef-d42e-415c-b9b9-25,State of California,ca-gov,csv,samples_geocoded.csv,https://catalog.data.gov/dataset/microplastics-in-drinking-water,Microplastics in Drinking Water - Catalog,192
https://data.chhs.ca.gov/dataset/99bc1fea-c55c-4377-bad8-f00832fd195d/resource/5a6d5fe9-36e6-4aca-ba,State of California,ca-gov,pdf,hci_crime_752-narrative_examples-10-30-15-ada.pdf,https://catalog.data.gov/dataset/violent-crime-rate-9a68e,Violent Crime Rate - Catalog,187
https://data.chhs.ca.gov/dataset/cfdf572b-d7b0-4cb9-8036-47068f98298c/resource/43637c83-49ae-4625-96,State of California,ca-gov,csv,fruit-and-vegetable-consumption-in-california-residents-20122013.csv,https://catalog.data.gov/dataset/fruit-and-vegetable-consumption-in-california-residents-2012-2013-819a8,"Fruit and Vegetable Consumption in California Residents, 2012/2013 - Catalog",143
https://data.ca.gov/dataset/e212e397-1277-4df3-8c22-40721b095f33/resource/3db1e426-fb51-44f5-82d5-a5,State of California,ca-gov,zip,ca_state.zip,https://catalog.data.gov/dataset/ca-geographic-boundaries,CA Geographic Boundaries - Catalog,140
https://data.ca.gov/dataset/e212e397-1277-4df3-8c22-40721b095f33/resource/b0007416-a325-4777-9295-36,State of California,ca-gov,zip,ca_counties.zip,https://catalog.data.gov/dataset/ca-geographic-boundaries,CA Geographic Boundaries - Catalog,140
https://data.chhs.ca.gov/dataset/0114f5bb-4975-419d-95d9-5f0179a8de06/resource/916e2a2e-383b-4af5-9f,State of California,ca-gov,xls,food_afford_cdp_co_region_ca4-14-13-ada.xls,https://catalog.data.gov/dataset/food-affordability-fc448,Food Affordability - Catalog,138
